ID_Ticket,Data_Retorno,Modelo,Capacidade,Tipo,Sintoma_Cliente,Diagnostico_Tecnico,Status_Garantia
RMA-001,2026-01-01,Corsair Dominator,64GB,DDR5,Erro no MemTest86,Degradação de chip (SPD),Aprovado
RMA-002,2026-01-01,Kingston Fury,8GB,DDR5,Congelamento aleatório,Falha no endereçamento de bits,Aprovado
RMA-003,2026-01-01,Corsair Vengeance,32GB,DDR4,Erro no MemTest86,Degradação de chip (SPD),Aprovado (Limpeza)
RMA-004,2026-01-01,Crucial Pro,16GB,DDR5,Frequência instável,Falha no endereçamento de bits,Rejeitado (Dano Físico)
RMA-005,2026-01-03,TeamGroup T-Force,32GB,DDR5,Sistema não liga,Capacitor SMD ausente,Aprovado
RMA-006,2026-01-03,ADATA XPG,32GB,DDR4,Frequência instável,Pinos de contato oxidados,Aprovado
RMA-007,2026-01-03,Corsair Dominator,64GB,DDR4,Não reconhece dual channel,Falha térmica em carga alta,Rejeitado (Modificação)
RMA-008,2026-01-03,Corsair Vengeance,16GB,DDR5,Artefatos no vídeo (iGPU),Incompatibilidade de firmware,Rejeitado (Dano Físico)
RMA-009,2026-01-05,Patriot Viper,32GB,DDR5,Blue Screen (BSOD),Falha no barramento de dados,Aprovado
RMA-010,2026-01-05,Crucial Pro,16GB,DDR4,Reinicialização súbita,Perfil XMP corrompido,Rejeitado (Dano Físico)
RMA-011,2026-01-05,Crucial Pro,16GB,DDR4,Luz de erro na placa-mãe,Falha no endereçamento de bits,Aprovado
RMA-012,2026-01-07,Crucial Basics,64GB,DDR4,Luz de erro na placa-mãe,Falha no barramento de dados,Aprovado
RMA-013,2026-01-07,Corsair Vengeance,8GB,DDR4,Frequência instável,Perfil XMP corrompido,Aprovado
RMA-014,2026-01-07,ADATA XPG,32GB,DDR4,Erro no MemTest86,Falha térmica em carga alta,Aprovado
RMA-015,2026-01-07,Kingston Fury,8GB,DDR4,Congelamento aleatório,Perfil XMP corrompido,Aprovado
RMA-016,2026-01-07,Patriot Viper,32GB,DDR5,Não reconhece dual channel,Falha no barramento de dados,Aprovado
RMA-017,2026-01-08,Patriot Viper,32GB,DDR4,Frequência instável,Perfil XMP corrompido,Aprovado (Limpeza)
RMA-018,2026-01-08,Crucial Basics,16GB,DDR5,Erro no MemTest86,Falha térmica em carga alta,Aprovado
RMA-019,2026-01-08,Patriot Viper,32GB,DDR4,Não reconhece dual channel,Falha no barramento de dados,Rejeitado (Dano Físico)
RMA-020,2026-01-08,Kingston Fury,64GB,DDR5,Frequência instável,Falha no barramento de dados,Rejeitado (Modificação)
RMA-021,2026-01-09,Crucial Basics,16GB,DDR4,Não reconhece dual channel,Erro de paridade ECC,Aprovado
RMA-022,2026-01-10,TeamGroup T-Force,16GB,DDR5,Artefatos no vídeo (iGPU),Degradação de chip (SPD),Rejeitado (Dano Físico)
RMA-023,2026-01-10,Crucial Pro,64GB,DDR4,Reinicialização súbita,Perfil XMP corrompido,Aprovado
RMA-024,2026-01-10,ADATA XPG,64GB,DDR4,Artefatos no vídeo (iGPU),Erro de paridade ECC,Aprovado (Limpeza)
RMA-025,2026-01-11,Kingston Fury,32GB,DDR4,Luz de erro na placa-mãe,Pinos de contato oxidados,Aprovado
RMA-026,2026-01-11,Crucial Pro,32GB,DDR4,Erro no MemTest86,Perfil XMP corrompido,Rejeitado (Dano Físico)
RMA-027,2026-01-12,ADATA XPG,8GB,DDR4,Erro no MemTest86,Capacitor SMD ausente,Aprovado
RMA-028,2026-01-12,Patriot Viper,16GB,DDR5,Luz de erro na placa-mãe,Perfil XMP corrompido,Aprovado
RMA-029,2026-01-12,Corsair Dominator,8GB,DDR5,Artefatos no vídeo (iGPU),Degradação de chip (SPD),Aprovado
RMA-030,2026-01-12,Corsair Dominator,16GB,DDR4,Frequência instável,Curto-circuito no PCB,Aprovado (Limpeza)
RMA-031,2026-01-13,Corsair Dominator,64GB,DDR4,Congelamento aleatório,Erro de paridade ECC,Aprovado
RMA-032,2026-01-13,Kingston Fury,32GB,DDR5,Reinicialização súbita,Falha no barramento de dados,Rejeitado (Modificação)
RMA-033,2026-01-14,Patriot Viper,8GB,DDR4,Congelamento aleatório,Falha no endereçamento de bits,Aprovado
RMA-034,2026-01-14,TeamGroup T-Force,8GB,DDR5,Não reconhece dual channel,Falha no barramento de dados,Rejeitado (Dano Físico)
RMA-035,2026-01-14,ADATA XPG,16GB,DDR5,Frequência instável,Falha no endereçamento de bits,Rejeitado (Dano Físico)
RMA-036,2026-01-15,TeamGroup T-Force,32GB,DDR5,Não reconhece dual channel,Pinos de contato oxidados,Rejeitado (Dano Físico)
RMA-037,2026-01-15,Crucial Basics,32GB,DDR4,Performance abaixo do esperado,Falha térmica em carga alta,Rejeitado (Modificação)
RMA-038,2026-01-16,Corsair Vengeance,8GB,DDR5,Congelamento aleatório,Falha no barramento de dados,Aprovado
RMA-039,2026-01-16,ADATA XPG,32GB,DDR5,Artefatos no vídeo (iGPU),Erro de paridade ECC,Rejeitado (Dano Físico)
RMA-040,2026-01-16,Patriot Viper,64GB,DDR5,Frequência instável,Perfil XMP corrompido,Rejeitado (Dano Físico)
RMA-041,2026-01-16,Crucial Basics,32GB,DDR4,Artefatos no vídeo (iGPU),Pinos de contato oxidados,Aprovado (Limpeza)
RMA-042,2026-01-16,Patriot Viper,16GB,DDR4,Frequência instável,Falha no barramento de dados,Rejeitado (Dano Físico)
RMA-043,2026-01-17,TeamGroup T-Force,8GB,DDR5,Sistema não liga,Erro de paridade ECC,Aprovado
RMA-044,2026-01-17,Corsair Vengeance,16GB,DDR5,Blue Screen (BSOD),Incompatibilidade de firmware,Aprovado
RMA-045,2026-01-17,Crucial Basics,64GB,DDR4,Erro no MemTest86,Degradação de chip (SPD),Aprovado
RMA-046,2026-01-17,Corsair Vengeance,32GB,DDR4,Artefatos no vídeo (iGPU),Capacitor SMD ausente,Rejeitado (Dano Físico)
RMA-047,2026-01-19,Corsair Dominator,8GB,DDR4,Performance abaixo do esperado,Capacitor SMD ausente,Aprovado
RMA-048,2026-01-19,Crucial Pro,32GB,DDR4,Artefatos no vídeo (iGPU),Degradação de chip (SPD),Aprovado
RMA-049,2026-01-20,TeamGroup T-Force,64GB,DDR4,Performance abaixo do esperado,Incompatibilidade de firmware,Aprovado
RMA-050,2026-01-20,Corsair Vengeance,32GB,DDR4,Congelamento aleatório,Curto-circuito no PCB,Aprovado
RMA-051,2026-01-20,Crucial Basics,8GB,DDR4,Artefatos no vídeo (iGPU),Erro de paridade ECC,Aprovado
RMA-052,2026-01-20,ADATA XPG,8GB,DDR5,Performance abaixo do esperado,Falha térmica em carga alta,Aprovado
RMA-053,2026-01-20,Patriot Viper,32GB,DDR5,Performance abaixo do esperado,Falha térmica em carga alta,Aprovado
RMA-054,2026-01-21,Corsair Vengeance,32GB,DDR5,Sistema não liga,Capacitor SMD ausente,Aprovado
RMA-055,2026-01-21,G.Skill Trident Z,16GB,DDR4,Luz de erro na placa-mãe,Capacitor SMD ausente,Aprovado
RMA-056,2026-01-22,ADATA XPG,16GB,DDR5,Congelamento aleatório,Erro de paridade ECC,Aprovado
RMA-057,2026-01-22,G.Skill Trident Z,32GB,DDR5,Artefatos no vídeo (iGPU),Erro de paridade ECC,Aprovado
RMA-058,2026-01-23,Kingston Fury,8GB,DDR4,Não reconhece dual channel,Falha térmica em carga alta,Aprovado
RMA-059,2026-01-23,Corsair Vengeance,16GB,DDR5,Reinicialização súbita,Pinos de contato oxidados,Rejeitado (Dano Físico)
RMA-060,2026-01-24,Kingston Fury,64GB,DDR4,Performance abaixo do esperado,Erro de paridade ECC,Aprovado
RMA-061,2026-01-24,Corsair Vengeance,32GB,DDR5,Artefatos no vídeo (iGPU),Degradação de chip (SPD),Aprovado
RMA-062,2026-01-25,G.Skill Trident Z,8GB,DDR5,Performance abaixo do esperado,Capacitor SMD ausente,Rejeitado (Dano Físico)
RMA-063,2026-01-25,Patriot Viper,16GB,DDR5,Luz de erro na placa-mãe,Degradação de chip (SPD),Aprovado
RMA-064,2026-01-26,Crucial Basics,16GB,DDR4,Performance abaixo do esperado,Falha no barramento de dados,Aprovado
RMA-065,2026-01-26,Corsair Dominator,32GB,DDR4,Luz de erro na placa-mãe,Erro de paridade ECC,Aprovado
RMA-066,2026-01-27,Kingston Fury,32GB,DDR4,Performance abaixo do esperado,Erro de paridade ECC,Aprovado
RMA-067,2026-01-27,Corsair Dominator,8GB,DDR5,Luz de erro na placa-mãe,Falha no barramento de dados,Aprovado
RMA-068,2026-01-28,Crucial Pro,8GB,DDR5,Sistema não liga,Falha no endereçamento de bits,Aprovado (Limpeza)
RMA-069,2026-01-28,TeamGroup T-Force,8GB,DDR4,Congelamento aleatório,Perfil XMP corrompido,Aprovado (Limpeza)
RMA-070,2026-01-28,Corsair Dominator,8GB,DDR4,Reinicialização súbita,Curto-circuito no PCB,Aprovado
RMA-071,2026-01-29,Corsair Dominator,8GB,DDR4,Reinicialização súbita,Falha térmica em carga alta,Rejeitado (Dano Físico)
RMA-072,2026-01-30,ADATA XPG,64GB,DDR5,Congelamento aleatório,Erro de paridade ECC,Aprovado
RMA-073,2026-01-31,Corsair Vengeance,32GB,DDR5,Artefatos no vídeo (iGPU),Falha térmica em carga alta,Rejeitado (Dano Físico)
RMA-074,2026-01-31,Corsair Dominator,32GB,DDR4,Reinicialização súbita,Degradação de chip (SPD),Rejeitado (Modificação)
RMA-075,2026-02-01,Kingston Fury,8GB,DDR5,Erro no MemTest86,Perfil XMP corrompido,Aprovado
RMA-076,2026-02-01,Patriot Viper,64GB,DDR5,Erro no MemTest86,Perfil XMP corrompido,Rejeitado (Dano Físico)
RMA-077,2026-02-01,Corsair Vengeance,32GB,DDR5,Reinicialização súbita,Perfil XMP corrompido,Aprovado
RMA-078,2026-02-01,Crucial Pro,16GB,DDR5,Frequência instável,Erro de paridade ECC,Aprovado
RMA-079,2026-02-01,Patriot Viper,64GB,DDR5,Performance abaixo do esperado,Degradação de chip (SPD),Aprovado
RMA-080,2026-02-02,ADATA XPG,16GB,DDR5,Congelamento aleatório,Falha no endereçamento de bits,Aprovado
RMA-081,2026-02-03,Corsair Dominator,64GB,DDR5,Performance abaixo do esperado,Capacitor SMD ausente,Rejeitado (Dano Físico)
RMA-082,2026-02-04,TeamGroup T-Force,64GB,DDR5,Blue Screen (BSOD),Perfil XMP corrompido,Aprovado
RMA-083,2026-02-04,G.Skill Trident Z,64GB,DDR4,Congelamento aleatório,Curto-circuito no PCB,Rejeitado (Dano Físico)
RMA-084,2026-02-04,Corsair Vengeance,64GB,DDR5,Artefatos no vídeo (iGPU),Incompatibilidade de firmware,Aprovado
RMA-085,2026-02-04,ADATA XPG,16GB,DDR4,Luz de erro na placa-mãe,Perfil XMP corrompido,Aprovado
RMA-086,2026-02-05,Crucial Basics,8GB,DDR4,Frequência instável,Falha no endereçamento de bits,Aprovado
RMA-087,2026-02-05,Patriot Viper,16GB,DDR5,Sistema não liga,Curto-circuito no PCB,Aprovado
RMA-088,2026-02-05,Corsair Dominator,64GB,DDR5,Frequência instável,Erro de paridade ECC,Aprovado (Limpeza)
RMA-089,2026-02-05,Kingston Fury,8GB,DDR4,Congelamento aleatório,Falha no endereçamento de bits,Aprovado
RMA-090,2026-02-05,G.Skill Trident Z,8GB,DDR4,Erro no MemTest86,Curto-circuito no PCB,Aprovado
RMA-091,2026-02-05,Corsair Vengeance,8GB,DDR5,Performance abaixo do esperado,Incompatibilidade de firmware,Aprovado
RMA-092,2026-02-06,Patriot Viper,8GB,DDR5,Luz de erro na placa-mãe,Falha no endereçamento de bits,Aprovado
RMA-093,2026-02-06,Patriot Viper,16GB,DDR5,Luz de erro na placa-mãe,Capacitor SMD ausente,Aprovado
RMA-094,2026-02-07,G.Skill Trident Z,64GB,DDR5,Luz de erro na placa-mãe,Degradação de chip (SPD),Aprovado
RMA-095,2026-02-08,Kingston Fury,64GB,DDR5,Reinicialização súbita,Incompatibilidade de firmware,Aprovado (Limpeza)
RMA-096,2026-02-08,Crucial Pro,16GB,DDR4,Blue Screen (BSOD),Falha no endereçamento de bits,Aprovado
RMA-097,2026-02-08,G.Skill Trident Z,64GB,DDR4,Blue Screen (BSOD),Falha térmica em carga alta,Aprovado
RMA-098,2026-02-09,Corsair Dominator,32GB,DDR4,Não reconhece dual channel,Falha no endereçamento de bits,Aprovado
RMA-099,2026-02-09,ADATA XPG,64GB,DDR5,Não reconhece dual channel,Falha no endereçamento de bits,Aprovado (Limpeza)
RMA-100,2026-02-09,Crucial Pro,32GB,DDR5,Luz de erro na placa-mãe,Falha no endereçamento de bits,Aprovado
RMA-101,2026-02-10,TeamGroup T-Force,8GB,DDR4,Frequência instável,Erro de paridade ECC,Aprovado
RMA-102,2026-02-10,Patriot Viper,32GB,DDR5,Artefatos no vídeo (iGPU),Incompatibilidade de firmware,Aprovado
RMA-103,2026-02-10,TeamGroup T-Force,64GB,DDR4,Artefatos no vídeo (iGPU),Falha no barramento de dados,Aprovado
RMA-104,2026-02-10,Crucial Basics,16GB,DDR5,Sistema não liga,Erro de paridade ECC,Aprovado
RMA-105,2026-02-10,Corsair Dominator,32GB,DDR4,Frequência instável,Incompatibilidade de firmware,Rejeitado (Modificação)
RMA-106,2026-02-11,G.Skill Trident Z,16GB,DDR5,Reinicialização súbita,Degradação de chip (SPD),Aprovado
RMA-107,2026-02-11,Crucial Basics,8GB,DDR4,Performance abaixo do esperado,Perfil XMP corrompido,Aprovado
RMA-108,2026-02-11,G.Skill Trident Z,16GB,DDR4,Congelamento aleatório,Falha térmica em carga alta,Aprovado
RMA-109,2026-02-12,Patriot Viper,8GB,DDR5,Sistema não liga,Erro de paridade ECC,Rejeitado (Modificação)
RMA-110,2026-02-12,G.Skill Trident Z,64GB,DDR4,Não reconhece dual channel,Incompatibilidade de firmware,Aprovado
RMA-111,2026-02-13,Kingston Fury,32GB,DDR4,Congelamento aleatório,Capacitor SMD ausente,Rejeitado (Dano Físico)
RMA-112,2026-02-13,Corsair Vengeance,32GB,DDR5,Blue Screen (BSOD),Pinos de contato oxidados,Aprovado
RMA-113,2026-02-13,G.Skill Trident Z,64GB,DDR5,Luz de erro na placa-mãe,Perfil XMP corrompido,Aprovado (Limpeza)
RMA-114,2026-02-14,Crucial Basics,32GB,DDR4,Não reconhece dual channel,Curto-circuito no PCB,Aprovado
RMA-115,2026-02-14,Corsair Vengeance,64GB,DDR4,Não reconhece dual channel,Falha no barramento de dados,Aprovado
RMA-116,2026-02-15,G.Skill Trident Z,8GB,DDR5,Frequência instável,Pinos de contato oxidados,Aprovado
RMA-117,2026-02-15,Corsair Vengeance,32GB,DDR5,Luz de erro na placa-mãe,Pinos de contato oxidados,Aprovado (Limpeza)
RMA-118,2026-02-16,ADATA XPG,8GB,DDR5,Sistema não liga,Falha no barramento de dados,Aprovado (Limpeza)
RMA-119,2026-02-16,Crucial Pro,8GB,DDR5,Artefatos no vídeo (iGPU),Falha no endereçamento de bits,Aprovado
RMA-120,2026-02-17,G.Skill Trident Z,64GB,DDR5,Erro no MemTest86,Erro de paridade ECC,Aprovado
RMA-121,2026-02-17,Crucial Pro,64GB,DDR5,Blue Screen (BSOD),Curto-circuito no PCB,Rejeitado (Modificação)
RMA-122,2026-02-18,Crucial Basics,16GB,DDR4,Erro no MemTest86,Incompatibilidade de firmware,Aprovado
RMA-123,2026-02-19,Patriot Viper,16GB,DDR4,Blue Screen (BSOD),Degradação de chip (SPD),Rejeitado (Dano Físico)
RMA-124,2026-02-19,G.Skill Trident Z,16GB,DDR5,Sistema não liga,Capacitor SMD ausente,Aprovado
RMA-125,2026-02-19,G.Skill Trident Z,64GB,DDR5,Reinicialização súbita,Pinos de contato oxidados,Aprovado
RMA-126,2026-02-19,Crucial Pro,8GB,DDR4,Luz de erro na placa-mãe,Capacitor SMD ausente,Rejeitado (Dano Físico)
RMA-127,2026-02-19,Corsair Vengeance,8GB,DDR4,Luz de erro na placa-mãe,Falha no barramento de dados,Aprovado
RMA-128,2026-02-20,G.Skill Trident Z,64GB,DDR5,Performance abaixo do esperado,Falha térmica em carga alta,Rejeitado (Dano Físico)
RMA-129,2026-02-20,Crucial Pro,16GB,DDR4,Frequência instável,Curto-circuito no PCB,Aprovado
RMA-130,2026-02-20,G.Skill Trident Z,32GB,DDR4,Artefatos no vídeo (iGPU),Falha térmica em carga alta,Aprovado
RMA-131,2026-02-20,TeamGroup T-Force,32GB,DDR5,Reinicialização súbita,Erro de paridade ECC,Rejeitado (Dano Físico)
RMA-132,2026-02-21,Corsair Vengeance,32GB,DDR5,Congelamento aleatório,Perfil XMP corrompido,Rejeitado (Dano Físico)
RMA-133,2026-02-21,G.Skill Trident Z,64GB,DDR4,Não reconhece dual channel,Pinos de contato oxidados,Aprovado
RMA-134,2026-02-21,Crucial Basics,64GB,DDR5,Reinicialização súbita,Falha térmica em carga alta,Rejeitado (Dano Físico)
RMA-135,2026-02-21,Crucial Pro,32GB,DDR5,Reinicialização súbita,Falha térmica em carga alta,Aprovado
RMA-136,2026-02-21,ADATA XPG,64GB,DDR4,Não reconhece dual channel,Falha térmica em carga alta,Aprovado
RMA-137,2026-02-21,Corsair Dominator,32GB,DDR4,Erro no MemTest86,Falha no barramento de dados,Aprovado
RMA-138,2026-02-22,Kingston Fury,8GB,DDR4,Sistema não liga,Falha térmica em carga alta,Rejeitado (Dano Físico)
RMA-139,2026-02-22,Crucial Pro,16GB,DDR5,Performance abaixo do esperado,Perfil XMP corrompido,Aprovado
RMA-140,2026-02-23,TeamGroup T-Force,8GB,DDR4,Erro no MemTest86,Capacitor SMD ausente,Aprovado
RMA-141,2026-02-23,Kingston Fury,16GB,DDR5,Sistema não liga,Pinos de contato oxidados,Aprovado
RMA-142,2026-02-24,Corsair Dominator,16GB,DDR4,Luz de erro na placa-mãe,Pinos de contato oxidados,Aprovado
RMA-143,2026-02-24,Corsair Dominator,64GB,DDR4,Erro no MemTest86,Curto-circuito no PCB,Aprovado
RMA-144,2026-02-24,Patriot Viper,16GB,DDR4,Frequência instável,Perfil XMP corrompido,Aprovado
RMA-145,2026-02-24,Crucial Basics,64GB,DDR4,Sistema não liga,Incompatibilidade de firmware,Aprovado
RMA-146,2026-02-24,Kingston Fury,16GB,DDR4,Artefatos no vídeo (iGPU),Degradação de chip (SPD),Aprovado
RMA-147,2026-02-24,Crucial Pro,16GB,DDR4,Performance abaixo do esperado,Curto-circuito no PCB,Aprovado
RMA-148,2026-02-25,Crucial Basics,16GB,DDR5,Frequência instável,Erro de paridade ECC,Aprovado
RMA-149,2026-02-26,Patriot Viper,16GB,DDR5,Performance abaixo do esperado,Capacitor SMD ausente,Rejeitado (Modificação)
RMA-150,2026-02-26,Crucial Basics,64GB,DDR5,Frequência instável,Falha térmica em carga alta,Rejeitado (Dano Físico)
RMA-151,2026-02-27,Corsair Dominator,32GB,DDR4,Sistema não liga,Falha no barramento de dados,Aprovado
RMA-152,2026-02-27,TeamGroup T-Force,64GB,DDR4,Reinicialização súbita,Perfil XMP corrompido,Aprovado
RMA-153,2026-02-28,Crucial Basics,32GB,DDR5,Congelamento aleatório,Capacitor SMD ausente,Aprovado
RMA-154,2026-03-01,Crucial Basics,16GB,DDR5,Sistema não liga,Curto-circuito no PCB,Aprovado
RMA-155,2026-03-01,Patriot Viper,32GB,DDR4,Luz de erro na placa-mãe,Falha no barramento de dados,Aprovado
RMA-156,2026-03-02,Crucial Pro,16GB,DDR5,Erro no MemTest86,Pinos de contato oxidados,Aprovado
RMA-157,2026-03-02,Patriot Viper,64GB,DDR4,Erro no MemTest86,Perfil XMP corrompido,Rejeitado (Dano Físico)
RMA-158,2026-03-02,Crucial Pro,32GB,DDR5,Reinicialização súbita,Degradação de chip (SPD),Aprovado (Limpeza)
RMA-159,2026-03-03,Crucial Basics,64GB,DDR5,Não reconhece dual channel,Incompatibilidade de firmware,Aprovado
RMA-160,2026-03-03,Crucial Pro,32GB,DDR4,Congelamento aleatório,Falha no barramento de dados,Aprovado
RMA-161,2026-03-03,G.Skill Trident Z,32GB,DDR4,Performance abaixo do esperado,Falha térmica em carga alta,Rejeitado (Dano Físico)
RMA-162,2026-03-03,G.Skill Trident Z,16GB,DDR5,Congelamento aleatório,Degradação de chip (SPD),Aprovado
RMA-163,2026-03-03,Patriot Viper,16GB,DDR4,Luz de erro na placa-mãe,Erro de paridade ECC,Aprovado
RMA-164,2026-03-05,ADATA XPG,64GB,DDR4,Blue Screen (BSOD),Falha no barramento de dados,Rejeitado (Modificação)
