ID_Ticket,Data_Retorno,Modelo,Capacidade,Tipo,Sintoma_Cliente,Diagnostico_Tecnico,Status_Garantia
RMA-165,2026-03-05,Crucial Basics,16GB,DDR5,Artefatos no vídeo (iGPU),Falha térmica em carga alta,Aprovado
RMA-166,2026-03-05,Patriot Viper,16GB,DDR4,Reinicialização súbita,Erro de paridade ECC,Aprovado
RMA-167,2026-03-06,Corsair Vengeance,32GB,DDR5,Não reconhece dual channel,Falha no endereçamento de bits,Aprovado
RMA-168,2026-03-06,ADATA XPG,64GB,DDR5,Congelamento aleatório,Erro de paridade ECC,Aprovado (Limpeza)
RMA-169,2026-03-06,G.Skill Trident Z,8GB,DDR4,Congelamento aleatório,Curto-circuito no PCB,Rejeitado (Modificação)
RMA-170,2026-03-07,Corsair Dominator,64GB,DDR4,Erro no MemTest86,Curto-circuito no PCB,Aprovado
RMA-171,2026-03-08,Kingston Fury,16GB,DDR5,Não reconhece dual channel,Falha térmica em carga alta,Aprovado (Limpeza)
RMA-172,2026-03-08,ADATA XPG,8GB,DDR5,Congelamento aleatório,Incompatibilidade de firmware,Aprovado
RMA-173,2026-03-09,TeamGroup T-Force,8GB,DDR5,Luz de erro na placa-mãe,Erro de paridade ECC,Rejeitado (Modificação)
RMA-174,2026-03-09,Crucial Pro,64GB,DDR5,Blue Screen (BSOD),Incompatibilidade de firmware,Aprovado
RMA-175,2026-03-09,Crucial Basics,8GB,DDR4,Luz de erro na placa-mãe,Falha no barramento de dados,Aprovado
RMA-176,2026-03-09,Crucial Pro,8GB,DDR4,Performance abaixo do esperado,Pinos de contato oxidados,Aprovado
RMA-177,2026-03-10,Kingston Fury,64GB,DDR5,Erro no MemTest86,Falha térmica em carga alta,Aprovado
RMA-178,2026-03-10,Crucial Basics,8GB,DDR5,Luz de erro na placa-mãe,Curto-circuito no PCB,Rejeitado (Modificação)
RMA-179,2026-03-10,Corsair Dominator,32GB,DDR5,Luz de erro na placa-mãe,Degradação de chip (SPD),Aprovado
RMA-180,2026-03-11,Crucial Basics,32GB,DDR4,Luz de erro na placa-mãe,Capacitor SMD ausente,Rejeitado (Dano Físico)
RMA-181,2026-03-11,ADATA XPG,8GB,DDR4,Reinicialização súbita,Falha térmica em carga alta,Aprovado (Limpeza)
RMA-182,2026-03-11,Corsair Vengeance,32GB,DDR5,Erro no MemTest86,Capacitor SMD ausente,Aprovado
RMA-183,2026-03-11,Crucial Pro,64GB,DDR4,Sistema não liga,Falha no endereçamento de bits,Rejeitado (Dano Físico)
RMA-184,2026-03-12,ADATA XPG,16GB,DDR4,Frequência instável,Capacitor SMD ausente,Aprovado
RMA-185,2026-03-12,Crucial Pro,16GB,DDR5,Frequência instável,Erro de paridade ECC,Aprovado
RMA-186,2026-03-12,Kingston Fury,16GB,DDR5,Erro no MemTest86,Pinos de contato oxidados,Aprovado
RMA-187,2026-03-12,Kingston Fury,16GB,DDR5,Luz de erro na placa-mãe,Falha no barramento de dados,Rejeitado (Dano Físico)
RMA-188,2026-03-13,Corsair Vengeance,16GB,DDR4,Reinicialização súbita,Capacitor SMD ausente,Aprovado
RMA-189,2026-03-13,G.Skill Trident Z,8GB,DDR4,Congelamento aleatório,Erro de paridade ECC,Rejeitado (Modificação)
RMA-190,2026-03-14,Corsair Vengeance,32GB,DDR4,Sistema não liga,Capacitor SMD ausente,Aprovado
RMA-191,2026-03-14,Corsair Vengeance,64GB,DDR4,Performance abaixo do esperado,Incompatibilidade de firmware,Aprovado
RMA-192,2026-03-14,Corsair Vengeance,16GB,DDR4,Erro no MemTest86,Perfil XMP corrompido,Aprovado
RMA-193,2026-03-14,Corsair Dominator,8GB,DDR4,Artefatos no vídeo (iGPU),Incompatibilidade de firmware,Aprovado
RMA-194,2026-03-14,Kingston Fury,64GB,DDR5,Frequência instável,Perfil XMP corrompido,Aprovado (Limpeza)
RMA-195,2026-03-14,TeamGroup T-Force,8GB,DDR5,Performance abaixo do esperado,Incompatibilidade de firmware,Rejeitado (Modificação)
RMA-196,2026-03-14,Kingston Fury,16GB,DDR4,Frequência instável,Incompatibilidade de firmware,Aprovado
RMA-197,2026-03-15,TeamGroup T-Force,8GB,DDR5,Não reconhece dual channel,Pinos de contato oxidados,Aprovado
RMA-198,2026-03-15,Crucial Basics,16GB,DDR4,Luz de erro na placa-mãe,Falha no barramento de dados,Aprovado
RMA-199,2026-03-15,G.Skill Trident Z,16GB,DDR4,Luz de erro na placa-mãe,Incompatibilidade de firmware,Aprovado
RMA-200,2026-03-16,TeamGroup T-Force,32GB,DDR4,Congelamento aleatório,Perfil XMP corrompido,Aprovado
RMA-201,2026-03-16,G.Skill Trident Z,32GB,DDR4,Erro no MemTest86,Erro de paridade ECC,Rejeitado (Dano Físico)
RMA-202,2026-03-16,Corsair Vengeance,16GB,DDR5,Reinicialização súbita,Capacitor SMD ausente,Aprovado
RMA-203,2026-03-16,ADATA XPG,16GB,DDR5,Congelamento aleatório,Curto-circuito no PCB,Aprovado
RMA-204,2026-03-16,ADATA XPG,8GB,DDR5,Performance abaixo do esperado,Falha no endereçamento de bits,Aprovado
RMA-205,2026-03-16,Corsair Dominator,32GB,DDR5,Reinicialização súbita,Incompatibilidade de firmware,Aprovado
RMA-206,2026-03-16,ADATA XPG,8GB,DDR5,Blue Screen (BSOD),Falha no barramento de dados,Aprovado
RMA-207,2026-03-17,Corsair Dominator,64GB,DDR4,Luz de erro na placa-mãe,Incompatibilidade de firmware,Aprovado
RMA-208,2026-03-17,TeamGroup T-Force,16GB,DDR4,Reinicialização súbita,Erro de paridade ECC,Aprovado
RMA-209,2026-03-18,Corsair Dominator,8GB,DDR5,Erro no MemTest86,Falha no barramento de dados,Aprovado (Limpeza)
RMA-210,2026-03-18,Kingston Fury,32GB,DDR4,Frequência instável,Degradação de chip (SPD),Rejeitado (Dano Físico)
RMA-211,2026-03-18,G.Skill Trident Z,32GB,DDR5,Artefatos no vídeo (iGPU),Falha no endereçamento de bits,Rejeitado (Dano Físico)
RMA-212,2026-03-19,Kingston Fury,32GB,DDR4,Blue Screen (BSOD),Degradação de chip (SPD),Rejeitado (Modificação)
RMA-213,2026-03-19,Crucial Basics,64GB,DDR5,Não reconhece dual channel,Curto-circuito no PCB,Aprovado
RMA-214,2026-03-20,Corsair Vengeance,8GB,DDR4,Sistema não liga,Falha no endereçamento de bits,Aprovado
RMA-215,2026-03-20,Corsair Dominator,16GB,DDR4,Frequência instável,Capacitor SMD ausente,Aprovado (Limpeza)
RMA-216,2026-03-20,Crucial Basics,16GB,DDR5,Não reconhece dual channel,Curto-circuito no PCB,Aprovado
RMA-217,2026-03-21,Crucial Pro,64GB,DDR4,Congelamento aleatório,Falha no endereçamento de bits,Aprovado
RMA-218,2026-03-21,Patriot Viper,8GB,DDR4,Congelamento aleatório,Falha no endereçamento de bits,Aprovado
RMA-219,2026-03-21,Kingston Fury,64GB,DDR4,Luz de erro na placa-mãe,Incompatibilidade de firmware,Rejeitado (Modificação)
RMA-220,2026-03-21,G.Skill Trident Z,8GB,DDR5,Artefatos no vídeo (iGPU),Curto-circuito no PCB,Aprovado (Limpeza)
RMA-221,2026-03-23,Patriot Viper,32GB,DDR5,Congelamento aleatório,Curto-circuito no PCB,Aprovado
RMA-222,2026-03-23,TeamGroup T-Force,32GB,DDR4,Frequência instável,Incompatibilidade de firmware,Aprovado (Limpeza)
RMA-223,2026-03-24,Corsair Dominator,32GB,DDR5,Luz de erro na placa-mãe,Pinos de contato oxidados,Aprovado (Limpeza)
RMA-224,2026-03-24,Crucial Basics,16GB,DDR4,Artefatos no vídeo (iGPU),Perfil XMP corrompido,Rejeitado (Modificação)
RMA-225,2026-03-25,Patriot Viper,32GB,DDR4,Congelamento aleatório,Degradação de chip (SPD),Aprovado
RMA-226,2026-03-25,Crucial Basics,64GB,DDR4,Congelamento aleatório,Falha no endereçamento de bits,Aprovado
RMA-227,2026-03-25,TeamGroup T-Force,32GB,DDR4,Reinicialização súbita,Pinos de contato oxidados,Aprovado
RMA-228,2026-03-25,ADATA XPG,64GB,DDR4,Performance abaixo do esperado,Falha no barramento de dados,Aprovado
RMA-229,2026-03-25,ADATA XPG,64GB,DDR4,Luz de erro na placa-mãe,Perfil XMP corrompido,Aprovado (Limpeza)
RMA-230,2026-03-25,G.Skill Trident Z,8GB,DDR4,Artefatos no vídeo (iGPU),Falha no endereçamento de bits,Aprovado (Limpeza)
RMA-231,2026-03-26,ADATA XPG,8GB,DDR4,Sistema não liga,Incompatibilidade de firmware,Aprovado
RMA-232,2026-03-28,Crucial Basics,16GB,DDR4,Luz de erro na placa-mãe,Erro de paridade ECC,Aprovado (Limpeza)
RMA-233,2026-03-29,Kingston Fury,16GB,DDR5,Erro no MemTest86,Perfil XMP corrompido,Aprovado
RMA-234,2026-03-29,Patriot Viper,64GB,DDR4,Frequência instável,Incompatibilidade de firmware,Aprovado
RMA-235,2026-03-29,G.Skill Trident Z,64GB,DDR4,Luz de erro na placa-mãe,Incompatibilidade de firmware,Rejeitado (Dano Físico)
RMA-236,2026-03-30,Corsair Dominator,8GB,DDR4,Frequência instável,Degradação de chip (SPD),Aprovado (Limpeza)
RMA-237,2026-03-30,Kingston Fury,8GB,DDR5,Erro no MemTest86,Degradação de chip (SPD),Aprovado
RMA-238,2026-03-31,TeamGroup T-Force,32GB,DDR4,Sistema não liga,Erro de paridade ECC,Rejeitado (Dano Físico)
RMA-239,2026-03-31,Crucial Basics,8GB,DDR5,Sistema não liga,Falha térmica em carga alta,Aprovado
RMA-240,2026-03-31,Kingston Fury,32GB,DDR4,Blue Screen (BSOD),Degradação de chip (SPD),Aprovado
RMA-241,2026-04-01,Crucial Basics,64GB,DDR4,Sistema não liga,Pinos de contato oxidados,Aprovado
RMA-242,2026-04-01,Crucial Pro,32GB,DDR4,Blue Screen (BSOD),Curto-circuito no PCB,Aprovado
RMA-243,2026-04-01,Crucial Pro,64GB,DDR5,Frequência instável,Incompatibilidade de firmware,Aprovado
RMA-244,2026-04-01,Corsair Vengeance,8GB,DDR5,Frequência instável,Falha no barramento de dados,Aprovado
RMA-245,2026-04-02,Crucial Pro,16GB,DDR5,Performance abaixo do esperado,Erro de paridade ECC,Rejeitado (Dano Físico)
RMA-246,2026-04-02,Corsair Vengeance,64GB,DDR4,Não reconhece dual channel,Falha no barramento de dados,Aprovado
RMA-247,2026-04-02,Corsair Vengeance,8GB,DDR4,Sistema não liga,Falha no barramento de dados,Aprovado
RMA-248,2026-04-02,Corsair Dominator,16GB,DDR4,Performance abaixo do esperado,Incompatibilidade de firmware,Aprovado
RMA-249,2026-04-02,Corsair Dominator,64GB,DDR5,Blue Screen (BSOD),Pinos de contato oxidados,Aprovado (Limpeza)
RMA-250,2026-04-03,Corsair Dominator,64GB,DDR4,Sistema não liga,Falha no endereçamento de bits,Rejeitado (Modificação)
RMA-251,2026-04-04,Kingston Fury,8GB,DDR5,Reinicialização súbita,Degradação de chip (SPD),Aprovado
RMA-252,2026-04-04,TeamGroup T-Force,32GB,DDR5,Frequência instável,Perfil XMP corrompido,Aprovado
RMA-253,2026-04-04,Kingston Fury,64GB,DDR4,Sistema não liga,Incompatibilidade de firmware,Aprovado (Limpeza)
RMA-254,2026-04-04,TeamGroup T-Force,64GB,DDR5,Não reconhece dual channel,Degradação de chip (SPD),Aprovado
RMA-255,2026-04-04,Crucial Basics,64GB,DDR5,Não reconhece dual channel,Pinos de contato oxidados,Aprovado
RMA-256,2026-04-05,Corsair Vengeance,8GB,DDR5,Erro no MemTest86,Falha no barramento de dados,Aprovado
RMA-257,2026-04-06,Crucial Pro,64GB,DDR5,Erro no MemTest86,Capacitor SMD ausente,Aprovado
RMA-258,2026-04-06,G.Skill Trident Z,32GB,DDR4,Luz de erro na placa-mãe,Capacitor SMD ausente,Aprovado
RMA-259,2026-04-07,Kingston Fury,16GB,DDR4,Frequência instável,Capacitor SMD ausente,Rejeitado (Dano Físico)
RMA-260,2026-04-07,Crucial Pro,32GB,DDR4,Sistema não liga,Falha térmica em carga alta,Aprovado (Limpeza)
RMA-261,2026-04-07,Patriot Viper,16GB,DDR4,Performance abaixo do esperado,Incompatibilidade de firmware,Aprovado (Limpeza)
RMA-262,2026-04-07,Crucial Basics,8GB,DDR5,Sistema não liga,Falha térmica em carga alta,Aprovado (Limpeza)
RMA-263,2026-04-07,Kingston Fury,16GB,DDR4,Reinicialização súbita,Incompatibilidade de firmware,Aprovado
RMA-264,2026-04-07,TeamGroup T-Force,64GB,DDR5,Frequência instável,Capacitor SMD ausente,Aprovado
RMA-265,2026-04-09,Corsair Vengeance,8GB,DDR5,Performance abaixo do esperado,Perfil XMP corrompido,Rejeitado (Dano Físico)
RMA-266,2026-04-09,Kingston Fury,16GB,DDR4,Não reconhece dual channel,Capacitor SMD ausente,Aprovado (Limpeza)
RMA-267,2026-04-09,Patriot Viper,64GB,DDR5,Blue Screen (BSOD),Pinos de contato oxidados,Aprovado
RMA-268,2026-04-09,Crucial Pro,8GB,DDR4,Congelamento aleatório,Falha térmica em carga alta,Aprovado
RMA-269,2026-04-11,ADATA XPG,32GB,DDR4,Sistema não liga,Perfil XMP corrompido,Aprovado
RMA-270,2026-04-11,G.Skill Trident Z,64GB,DDR4,Luz de erro na placa-mãe,Falha no barramento de dados,Aprovado
RMA-271,2026-04-12,Patriot Viper,16GB,DDR4,Reinicialização súbita,Curto-circuito no PCB,Aprovado
RMA-272,2026-04-12,ADATA XPG,8GB,DDR4,Não reconhece dual channel,Incompatibilidade de firmware,Aprovado
RMA-273,2026-04-13,Kingston Fury,32GB,DDR4,Luz de erro na placa-mãe,Curto-circuito no PCB,Aprovado
RMA-274,2026-04-13,Corsair Dominator,8GB,DDR4,Não reconhece dual channel,Falha no barramento de dados,Aprovado
RMA-275,2026-04-13,TeamGroup T-Force,32GB,DDR5,Congelamento aleatório,Incompatibilidade de firmware,Aprovado
RMA-276,2026-04-13,ADATA XPG,32GB,DDR4,Erro no MemTest86,Perfil XMP corrompido,Aprovado
RMA-277,2026-04-14,Corsair Vengeance,8GB,DDR4,Congelamento aleatório,Falha térmica em carga alta,Aprovado
RMA-278,2026-04-14,G.Skill Trident Z,64GB,DDR5,Luz de erro na placa-mãe,Incompatibilidade de firmware,Aprovado
RMA-279,2026-04-14,Crucial Basics,8GB,DDR4,Congelamento aleatório,Capacitor SMD ausente,Aprovado
RMA-280,2026-04-14,Kingston Fury,32GB,DDR4,Reinicialização súbita,Capacitor SMD ausente,Aprovado
RMA-281,2026-04-14,TeamGroup T-Force,8GB,DDR4,Luz de erro na placa-mãe,Erro de paridade ECC,Aprovado (Limpeza)
RMA-282,2026-04-15,Kingston Fury,64GB,DDR4,Luz de erro na placa-mãe,Erro de paridade ECC,Aprovado
RMA-283,2026-04-15,Corsair Vengeance,16GB,DDR4,Erro no MemTest86,Degradação de chip (SPD),Rejeitado (Dano Físico)
RMA-284,2026-04-16,TeamGroup T-Force,32GB,DDR5,Artefatos no vídeo (iGPU),Degradação de chip (SPD),Rejeitado (Dano Físico)
RMA-285,2026-04-16,ADATA XPG,32GB,DDR5,Artefatos no vídeo (iGPU),Incompatibilidade de firmware,Aprovado
RMA-286,2026-04-16,G.Skill Trident Z,64GB,DDR5,Frequência instável,Falha no barramento de dados,Aprovado
RMA-287,2026-04-17,TeamGroup T-Force,8GB,DDR5,Blue Screen (BSOD),Falha no endereçamento de bits,Aprovado
RMA-288,2026-04-17,ADATA XPG,16GB,DDR5,Congelamento aleatório,Perfil XMP corrompido,Aprovado
RMA-289,2026-04-18,Corsair Dominator,8GB,DDR5,Erro no MemTest86,Erro de paridade ECC,Aprovado
RMA-290,2026-04-18,ADATA XPG,64GB,DDR4,Erro no MemTest86,Perfil XMP corrompido,Aprovado
RMA-291,2026-04-18,G.Skill Trident Z,32GB,DDR5,Sistema não liga,Capacitor SMD ausente,Aprovado
RMA-292,2026-04-18,Corsair Vengeance,32GB,DDR4,Erro no MemTest86,Perfil XMP corrompido,Aprovado
RMA-293,2026-04-19,Patriot Viper,64GB,DDR4,Reinicialização súbita,Pinos de contato oxidados,Rejeitado (Dano Físico)
RMA-294,2026-04-20,Kingston Fury,64GB,DDR5,Frequência instável,Erro de paridade ECC,Aprovado
RMA-295,2026-04-20,Kingston Fury,64GB,DDR4,Frequência instável,Degradação de chip (SPD),Aprovado
RMA-296,2026-04-20,Crucial Basics,16GB,DDR4,Erro no MemTest86,Pinos de contato oxidados,Aprovado
RMA-297,2026-04-20,Corsair Dominator,64GB,DDR5,Congelamento aleatório,Degradação de chip (SPD),Aprovado
RMA-298,2026-04-20,Crucial Pro,64GB,DDR4,Congelamento aleatório,Capacitor SMD ausente,Aprovado
RMA-299,2026-04-21,Corsair Vengeance,8GB,DDR4,Luz de erro na placa-mãe,Capacitor SMD ausente,Aprovado
RMA-300,2026-04-21,Kingston Fury,8GB,DDR5,Erro no MemTest86,Perfil XMP corrompido,Aprovado
RMA-301,2026-04-22,Corsair Vengeance,8GB,DDR5,Blue Screen (BSOD),Perfil XMP corrompido,Rejeitado (Dano Físico)
RMA-302,2026-04-22,TeamGroup T-Force,16GB,DDR5,Blue Screen (BSOD),Curto-circuito no PCB,Aprovado
RMA-303,2026-04-22,Corsair Vengeance,64GB,DDR4,Blue Screen (BSOD),Erro de paridade ECC,Aprovado
RMA-304,2026-04-23,Crucial Basics,16GB,DDR5,Sistema não liga,Falha no endereçamento de bits,Aprovado
RMA-305,2026-04-23,Crucial Basics,32GB,DDR4,Congelamento aleatório,Degradação de chip (SPD),Aprovado
RMA-306,2026-04-23,G.Skill Trident Z,16GB,DDR4,Reinicialização súbita,Degradação de chip (SPD),Aprovado
RMA-307,2026-04-23,ADATA XPG,64GB,DDR5,Reinicialização súbita,Perfil XMP corrompido,Aprovado
RMA-308,2026-04-23,Crucial Basics,64GB,DDR4,Sistema não liga,Falha térmica em carga alta,Aprovado
RMA-309,2026-04-23,Kingston Fury,16GB,DDR4,Reinicialização súbita,Curto-circuito no PCB,Aprovado
RMA-310,2026-04-24,Crucial Pro,32GB,DDR5,Não reconhece dual channel,Falha no endereçamento de bits,Aprovado
RMA-311,2026-04-24,Corsair Vengeance,8GB,DDR5,Performance abaixo do esperado,Degradação de chip (SPD),Aprovado
RMA-312,2026-04-24,Crucial Basics,64GB,DDR5,Blue Screen (BSOD),Perfil XMP corrompido,Aprovado
RMA-313,2026-04-24,Crucial Pro,16GB,DDR5,Não reconhece dual channel,Pinos de contato oxidados,Aprovado
RMA-314,2026-04-25,TeamGroup T-Force,64GB,DDR5,Luz de erro na placa-mãe,Pinos de contato oxidados,Aprovado
RMA-315,2026-04-25,Corsair Dominator,8GB,DDR5,Reinicialização súbita,Capacitor SMD ausente,Aprovado
RMA-316,2026-04-25,Patriot Viper,32GB,DDR4,Luz de erro na placa-mãe,Perfil XMP corrompido,Rejeitado (Dano Físico)
RMA-317,2026-04-25,G.Skill Trident Z,64GB,DDR5,Erro no MemTest86,Falha no barramento de dados,Rejeitado (Dano Físico)
RMA-318,2026-04-27,Crucial Basics,64GB,DDR4,Não reconhece dual channel,Perfil XMP corrompido,Aprovado
RMA-319,2026-04-27,G.Skill Trident Z,16GB,DDR5,Não reconhece dual channel,Perfil XMP corrompido,Aprovado
RMA-320,2026-04-27,Corsair Vengeance,8GB,DDR4,Artefatos no vídeo (iGPU),Curto-circuito no PCB,Rejeitado (Dano Físico)
RMA-321,2026-04-27,Patriot Viper,64GB,DDR5,Não reconhece dual channel,Falha térmica em carga alta,Aprovado
RMA-322,2026-04-27,Patriot Viper,16GB,DDR4,Reinicialização súbita,Capacitor SMD ausente,Aprovado
RMA-323,2026-04-28,Kingston Fury,16GB,DDR4,Artefatos no vídeo (iGPU),Falha térmica em carga alta,Aprovado
RMA-324,2026-04-28,Crucial Pro,64GB,DDR5,Reinicialização súbita,Degradação de chip (SPD),Aprovado (Limpeza)
RMA-325,2026-04-28,G.Skill Trident Z,64GB,DDR4,Reinicialização súbita,Falha térmica em carga alta,Aprovado
RMA-326,2026-04-29,Corsair Vengeance,64GB,DDR5,Artefatos no vídeo (iGPU),Falha no endereçamento de bits,Aprovado
RMA-327,2026-04-29,G.Skill Trident Z,64GB,DDR5,Erro no MemTest86,Falha térmica em carga alta,Rejeitado (Modificação)
RMA-328,2026-04-29,Crucial Pro,8GB,DDR5,Congelamento aleatório,Perfil XMP corrompido,Aprovado
RMA-329,2026-04-30,G.Skill Trident Z,64GB,DDR4,Congelamento aleatório,Falha térmica em carga alta,Aprovado
RMA-330,2026-04-30,G.Skill Trident Z,16GB,DDR4,Performance abaixo do esperado,Pinos de contato oxidados,Rejeitado (Dano Físico)
