ID_Ticket,Data_Retorno,Modelo,Capacidade,Tipo,Sintoma_Cliente,Diagnostico_Tecnico,Status_Garantia
RMA-331,2026-04-30,Crucial Pro,64GB,DDR4,Frequência instável,Curto-circuito no PCB,Rejeitado (Dano Físico)
RMA-332,2026-04-30,Corsair Dominator,32GB,DDR5,Sistema não liga,Perfil XMP corrompido,Rejeitado (Dano Físico)
RMA-333,2026-05-01,Corsair Vengeance,64GB,DDR5,Sistema não liga,Perfil XMP corrompido,Aprovado
RMA-334,2026-05-01,TeamGroup T-Force,16GB,DDR4,Frequência instável,Erro de paridade ECC,Rejeitado (Dano Físico)
RMA-335,2026-05-01,Kingston Fury,8GB,DDR4,Artefatos no vídeo (iGPU),Incompatibilidade de firmware,Aprovado
RMA-336,2026-05-01,Crucial Pro,32GB,DDR4,Frequência instável,Degradação de chip (SPD),Aprovado
RMA-337,2026-05-01,Corsair Vengeance,64GB,DDR5,Blue Screen (BSOD),Curto-circuito no PCB,Aprovado
RMA-338,2026-05-01,Kingston Fury,16GB,DDR4,Reinicialização súbita,Perfil XMP corrompido,Aprovado
RMA-339,2026-05-01,Kingston Fury,16GB,DDR5,Reinicialização súbita,Capacitor SMD ausente,Rejeitado (Dano Físico)
RMA-340,2026-05-01,ADATA XPG,16GB,DDR4,Sistema não liga,Falha no barramento de dados,Aprovado
RMA-341,2026-05-02,Crucial Basics,8GB,DDR5,Blue Screen (BSOD),Falha térmica em carga alta,Rejeitado (Dano Físico)
RMA-342,2026-05-02,TeamGroup T-Force,64GB,DDR5,Reinicialização súbita,Pinos de contato oxidados,Aprovado
RMA-343,2026-05-02,ADATA XPG,8GB,DDR4,Sistema não liga,Capacitor SMD ausente,Rejeitado (Dano Físico)
RMA-344,2026-05-02,Corsair Vengeance,8GB,DDR5,Blue Screen (BSOD),Degradação de chip (SPD),Aprovado (Limpeza)
RMA-345,2026-05-03,G.Skill Trident Z,8GB,DDR5,Congelamento aleatório,Incompatibilidade de firmware,Aprovado
RMA-346,2026-05-03,Corsair Vengeance,32GB,DDR5,Não reconhece dual channel,Erro de paridade ECC,Aprovado
RMA-347,2026-05-03,Corsair Dominator,8GB,DDR5,Não reconhece dual channel,Falha no endereçamento de bits,Aprovado
RMA-348,2026-05-04,Corsair Vengeance,16GB,DDR5,Erro no MemTest86,Falha no endereçamento de bits,Aprovado
RMA-349,2026-05-04,Kingston Fury,8GB,DDR4,Frequência instável,Falha no endereçamento de bits,Rejeitado (Dano Físico)
RMA-350,2026-05-04,Patriot Viper,16GB,DDR4,Blue Screen (BSOD),Falha térmica em carga alta,Aprovado
RMA-351,2026-05-04,Kingston Fury,16GB,DDR4,Sistema não liga,Curto-circuito no PCB,Rejeitado (Dano Físico)
RMA-352,2026-05-05,Corsair Dominator,64GB,DDR5,Frequência instável,Perfil XMP corrompido,Aprovado
RMA-353,2026-05-05,Kingston Fury,16GB,DDR4,Reinicialização súbita,Pinos de contato oxidados,Rejeitado (Dano Físico)
RMA-354,2026-05-05,TeamGroup T-Force,16GB,DDR5,Não reconhece dual channel,Pinos de contato oxidados,Aprovado
RMA-355,2026-05-06,ADATA XPG,32GB,DDR4,Não reconhece dual channel,Capacitor SMD ausente,Aprovado (Limpeza)
RMA-356,2026-05-06,TeamGroup T-Force,16GB,DDR5,Reinicialização súbita,Falha no barramento de dados,Rejeitado (Dano Físico)
RMA-357,2026-05-06,ADATA XPG,64GB,DDR4,Congelamento aleatório,Pinos de contato oxidados,Aprovado
RMA-358,2026-05-06,Corsair Dominator,8GB,DDR4,Artefatos no vídeo (iGPU),Erro de paridade ECC,Aprovado
RMA-359,2026-05-07,G.Skill Trident Z,16GB,DDR5,Sistema não liga,Falha no endereçamento de bits,Aprovado
RMA-360,2026-05-07,Corsair Vengeance,8GB,DDR5,Sistema não liga,Perfil XMP corrompido,Aprovado
RMA-361,2026-05-07,Corsair Dominator,16GB,DDR4,Não reconhece dual channel,Pinos de contato oxidados,Aprovado
RMA-362,2026-05-07,G.Skill Trident Z,32GB,DDR5,Artefatos no vídeo (iGPU),Falha no barramento de dados,Aprovado
RMA-363,2026-05-07,TeamGroup T-Force,8GB,DDR5,Luz de erro na placa-mãe,Degradação de chip (SPD),Rejeitado (Dano Físico)
RMA-364,2026-05-08,Crucial Pro,32GB,DDR4,Blue Screen (BSOD),Incompatibilidade de firmware,Rejeitado (Dano Físico)
RMA-365,2026-05-08,Corsair Dominator,16GB,DDR5,Luz de erro na placa-mãe,Perfil XMP corrompido,Aprovado
RMA-366,2026-05-09,Corsair Vengeance,8GB,DDR4,Blue Screen (BSOD),Erro de paridade ECC,Rejeitado (Dano Físico)
RMA-367,2026-05-10,Corsair Dominator,32GB,DDR4,Erro no MemTest86,Falha térmica em carga alta,Aprovado
RMA-368,2026-05-10,TeamGroup T-Force,32GB,DDR5,Frequência instável,Falha térmica em carga alta,Aprovado
RMA-369,2026-05-10,Patriot Viper,64GB,DDR5,Congelamento aleatório,Perfil XMP corrompido,Rejeitado (Dano Físico)
RMA-370,2026-05-11,Corsair Vengeance,64GB,DDR5,Congelamento aleatório,Erro de paridade ECC,Aprovado
RMA-371,2026-05-11,Patriot Viper,16GB,DDR4,Sistema não liga,Pinos de contato oxidados,Aprovado
RMA-372,2026-05-12,Corsair Vengeance,64GB,DDR4,Não reconhece dual channel,Incompatibilidade de firmware,Aprovado
RMA-373,2026-05-13,Corsair Dominator,16GB,DDR5,Artefatos no vídeo (iGPU),Perfil XMP corrompido,Aprovado
RMA-374,2026-05-13,ADATA XPG,32GB,DDR4,Não reconhece dual channel,Erro de paridade ECC,Aprovado
RMA-375,2026-05-14,Patriot Viper,8GB,DDR4,Frequência instável,Perfil XMP corrompido,Rejeitado (Dano Físico)
RMA-376,2026-05-14,ADATA XPG,64GB,DDR4,Não reconhece dual channel,Capacitor SMD ausente,Aprovado (Limpeza)
RMA-377,2026-05-14,ADATA XPG,32GB,DDR5,Blue Screen (BSOD),Degradação de chip (SPD),Aprovado
RMA-378,2026-05-15,Kingston Fury,16GB,DDR5,Performance abaixo do esperado,Curto-circuito no PCB,Aprovado
RMA-379,2026-05-16,Crucial Pro,8GB,DDR5,Erro no MemTest86,Pinos de contato oxidados,Aprovado (Limpeza)
RMA-380,2026-05-16,Corsair Vengeance,8GB,DDR4,Luz de erro na placa-mãe,Erro de paridade ECC,Aprovado
RMA-381,2026-05-16,Crucial Pro,8GB,DDR4,Congelamento aleatório,Incompatibilidade de firmware,Aprovado
RMA-382,2026-05-16,Corsair Dominator,8GB,DDR4,Blue Screen (BSOD),Curto-circuito no PCB,Rejeitado (Dano Físico)
RMA-383,2026-05-17,Crucial Basics,32GB,DDR4,Reinicialização súbita,Perfil XMP corrompido,Aprovado
RMA-384,2026-05-17,Crucial Pro,16GB,DDR5,Sistema não liga,Falha térmica em carga alta,Aprovado
RMA-385,2026-05-17,Corsair Dominator,32GB,DDR4,Congelamento aleatório,Perfil XMP corrompido,Aprovado (Limpeza)
RMA-386,2026-05-18,Corsair Dominator,32GB,DDR4,Sistema não liga,Pinos de contato oxidados,Aprovado
RMA-387,2026-05-18,Crucial Basics,16GB,DDR4,Congelamento aleatório,Perfil XMP corrompido,Aprovado
RMA-388,2026-05-18,Crucial Basics,64GB,DDR4,Erro no MemTest86,Pinos de contato oxidados,Aprovado (Limpeza)
RMA-389,2026-05-19,Corsair Dominator,32GB,DDR5,Artefatos no vídeo (iGPU),Capacitor SMD ausente,Aprovado (Limpeza)
RMA-390,2026-05-19,Crucial Basics,16GB,DDR4,Erro no MemTest86,Falha térmica em carga alta,Aprovado
RMA-391,2026-05-19,Crucial Pro,64GB,DDR4,Sistema não liga,Perfil XMP corrompido,Aprovado
RMA-392,2026-05-20,Crucial Basics,32GB,DDR4,Sistema não liga,Capacitor SMD ausente,Aprovado
RMA-393,2026-05-22,TeamGroup T-Force,8GB,DDR4,Frequência instável,Degradação de chip (SPD),Aprovado (Limpeza)
RMA-394,2026-05-22,Corsair Vengeance,8GB,DDR4,Blue Screen (BSOD),Curto-circuito no PCB,Aprovado
RMA-395,2026-05-23,Corsair Dominator,8GB,DDR5,Frequência instável,Erro de paridade ECC,Rejeitado (Modificação)
RMA-396,2026-05-23,Patriot Viper,64GB,DDR5,Congelamento aleatório,Falha no barramento de dados,Aprovado
RMA-397,2026-05-23,Patriot Viper,64GB,DDR5,Luz de erro na placa-mãe,Degradação de chip (SPD),Aprovado
RMA-398,2026-05-24,Crucial Basics,64GB,DDR4,Luz de erro na placa-mãe,Degradação de chip (SPD),Aprovado
RMA-399,2026-05-24,Patriot Viper,16GB,DDR5,Frequência instável,Pinos de contato oxidados,Aprovado
RMA-400,2026-05-25,Crucial Pro,32GB,DDR4,Não reconhece dual channel,Erro de paridade ECC,Aprovado
RMA-401,2026-05-25,Crucial Basics,64GB,DDR4,Performance abaixo do esperado,Falha no barramento de dados,Aprovado
RMA-402,2026-05-25,G.Skill Trident Z,64GB,DDR4,Frequência instável,Falha no barramento de dados,Aprovado
RMA-403,2026-05-26,Kingston Fury,16GB,DDR5,Frequência instável,Capacitor SMD ausente,Rejeitado (Dano Físico)
RMA-404,2026-05-26,Kingston Fury,32GB,DDR4,Erro no MemTest86,Incompatibilidade de firmware,Aprovado
RMA-405,2026-05-27,Patriot Viper,8GB,DDR5,Reinicialização súbita,Pinos de contato oxidados,Rejeitado (Dano Físico)
RMA-406,2026-05-27,ADATA XPG,32GB,DDR5,Erro no MemTest86,Degradação de chip (SPD),Aprovado
RMA-407,2026-05-28,Crucial Basics,8GB,DDR4,Sistema não liga,Falha no endereçamento de bits,Aprovado (Limpeza)
RMA-408,2026-05-28,Patriot Viper,16GB,DDR4,Artefatos no vídeo (iGPU),Curto-circuito no PCB,Aprovado
RMA-409,2026-05-29,Kingston Fury,16GB,DDR5,Frequência instável,Falha no barramento de dados,Aprovado
RMA-410,2026-05-29,G.Skill Trident Z,32GB,DDR5,Não reconhece dual channel,Curto-circuito no PCB,Aprovado
RMA-411,2026-05-29,TeamGroup T-Force,64GB,DDR5,Reinicialização súbita,Curto-circuito no PCB,Aprovado
RMA-412,2026-05-29,TeamGroup T-Force,64GB,DDR5,Não reconhece dual channel,Incompatibilidade de firmware,Rejeitado (Modificação)
RMA-413,2026-05-29,ADATA XPG,32GB,DDR5,Reinicialização súbita,Incompatibilidade de firmware,Aprovado
RMA-414,2026-05-30,TeamGroup T-Force,8GB,DDR4,Reinicialização súbita,Erro de paridade ECC,Aprovado
RMA-415,2026-05-31,Corsair Vengeance,32GB,DDR4,Sistema não liga,Erro de paridade ECC,Aprovado
RMA-416,2026-05-31,ADATA XPG,32GB,DDR5,Não reconhece dual channel,Falha no endereçamento de bits,Aprovado
RMA-417,2026-05-31,Corsair Vengeance,32GB,DDR4,Artefatos no vídeo (iGPU),Falha térmica em carga alta,Aprovado
RMA-418,2026-06-01,ADATA XPG,64GB,DDR4,Erro no MemTest86,Erro de paridade ECC,Rejeitado (Dano Físico)
RMA-419,2026-06-01,Kingston Fury,64GB,DDR4,Erro no MemTest86,Falha no endereçamento de bits,Aprovado
RMA-420,2026-06-02,G.Skill Trident Z,64GB,DDR5,Erro no MemTest86,Capacitor SMD ausente,Aprovado
RMA-421,2026-06-02,ADATA XPG,8GB,DDR5,Blue Screen (BSOD),Falha térmica em carga alta,Aprovado
RMA-422,2026-06-02,ADATA XPG,8GB,DDR4,Reinicialização súbita,Incompatibilidade de firmware,Aprovado
RMA-423,2026-06-02,Crucial Pro,64GB,DDR5,Erro no MemTest86,Falha no endereçamento de bits,Rejeitado (Dano Físico)
RMA-424,2026-06-02,Crucial Basics,16GB,DDR5,Reinicialização súbita,Capacitor SMD ausente,Aprovado
RMA-425,2026-06-02,Patriot Viper,64GB,DDR4,Frequência instável,Perfil XMP corrompido,Aprovado
RMA-426,2026-06-03,Corsair Dominator,8GB,DDR5,Frequência instável,Pinos de contato oxidados,Aprovado
RMA-427,2026-06-03,ADATA XPG,32GB,DDR5,Artefatos no vídeo (iGPU),Falha no endereçamento de bits,Aprovado
RMA-428,2026-06-03,TeamGroup T-Force,32GB,DDR5,Artefatos no vídeo (iGPU),Degradação de chip (SPD),Aprovado
RMA-429,2026-06-04,G.Skill Trident Z,64GB,DDR5,Não reconhece dual channel,Falha térmica em carga alta,Aprovado
RMA-430,2026-06-05,Crucial Basics,64GB,DDR4,Erro no MemTest86,Falha no endereçamento de bits,Aprovado (Limpeza)
RMA-431,2026-06-05,Crucial Pro,64GB,DDR5,Blue Screen (BSOD),Capacitor SMD ausente,Rejeitado (Dano Físico)
RMA-432,2026-06-05,Corsair Dominator,64GB,DDR4,Sistema não liga,Erro de paridade ECC,Rejeitado (Modificação)
RMA-433,2026-06-06,Crucial Basics,32GB,DDR5,Não reconhece dual channel,Perfil XMP corrompido,Rejeitado (Dano Físico)
RMA-434,2026-06-06,Crucial Pro,8GB,DDR5,Reinicialização súbita,Falha térmica em carga alta,Aprovado
RMA-435,2026-06-06,Crucial Pro,16GB,DDR5,Erro no MemTest86,Curto-circuito no PCB,Aprovado
RMA-436,2026-06-06,Crucial Basics,16GB,DDR4,Erro no MemTest86,Falha térmica em carga alta,Aprovado
RMA-437,2026-06-07,Kingston Fury,32GB,DDR4,Frequência instável,Pinos de contato oxidados,Aprovado
RMA-438,2026-06-07,Corsair Dominator,32GB,DDR4,Frequência instável,Incompatibilidade de firmware,Aprovado
RMA-439,2026-06-07,ADATA XPG,16GB,DDR4,Erro no MemTest86,Curto-circuito no PCB,Aprovado
RMA-440,2026-06-07,Patriot Viper,16GB,DDR4,Não reconhece dual channel,Perfil XMP corrompido,Aprovado (Limpeza)
RMA-441,2026-06-07,Crucial Basics,32GB,DDR4,Não reconhece dual channel,Perfil XMP corrompido,Aprovado
RMA-442,2026-06-08,Crucial Pro,16GB,DDR4,Erro no MemTest86,Falha no barramento de dados,Aprovado
RMA-443,2026-06-08,ADATA XPG,64GB,DDR5,Performance abaixo do esperado,Falha no endereçamento de bits,Rejeitado (Dano Físico)
RMA-444,2026-06-09,G.Skill Trident Z,64GB,DDR4,Artefatos no vídeo (iGPU),Perfil XMP corrompido,Aprovado
RMA-445,2026-06-09,Kingston Fury,64GB,DDR5,Artefatos no vídeo (iGPU),Degradação de chip (SPD),Aprovado
RMA-446,2026-06-09,Crucial Pro,16GB,DDR5,Reinicialização súbita,Pinos de contato oxidados,Aprovado
RMA-447,2026-06-10,Patriot Viper,8GB,DDR4,Erro no MemTest86,Erro de paridade ECC,Aprovado
RMA-448,2026-06-10,Patriot Viper,64GB,DDR5,Artefatos no vídeo (iGPU),Erro de paridade ECC,Aprovado
RMA-449,2026-06-10,Corsair Dominator,64GB,DDR5,Não reconhece dual channel,Erro de paridade ECC,Rejeitado (Modificação)
RMA-450,2026-06-10,G.Skill Trident Z,16GB,DDR5,Erro no MemTest86,Falha no barramento de dados,Aprovado
RMA-451,2026-06-11,Patriot Viper,64GB,DDR4,Sistema não liga,Incompatibilidade de firmware,Aprovado
RMA-452,2026-06-11,ADATA XPG,64GB,DDR4,Congelamento aleatório,Pinos de contato oxidados,Aprovado
RMA-453,2026-06-12,ADATA XPG,64GB,DDR4,Frequência instável,Perfil XMP corrompido,Aprovado
RMA-454,2026-06-12,Crucial Pro,8GB,DDR5,Frequência instável,Erro de paridade ECC,Rejeitado (Dano Físico)
RMA-455,2026-06-12,Crucial Basics,64GB,DDR4,Sistema não liga,Pinos de contato oxidados,Aprovado
RMA-456,2026-06-12,Patriot Viper,8GB,DDR5,Frequência instável,Falha no barramento de dados,Aprovado
RMA-457,2026-06-12,Patriot Viper,64GB,DDR5,Sistema não liga,Incompatibilidade de firmware,Rejeitado (Dano Físico)
RMA-458,2026-06-13,Crucial Basics,32GB,DDR4,Luz de erro na placa-mãe,Erro de paridade ECC,Rejeitado (Modificação)
RMA-459,2026-06-15,TeamGroup T-Force,32GB,DDR4,Artefatos no vídeo (iGPU),Pinos de contato oxidados,Rejeitado (Dano Físico)
RMA-460,2026-06-15,Crucial Basics,32GB,DDR5,Artefatos no vídeo (iGPU),Falha térmica em carga alta,Aprovado
RMA-461,2026-06-15,Corsair Vengeance,64GB,DDR4,Blue Screen (BSOD),Curto-circuito no PCB,Rejeitado (Modificação)
RMA-462,2026-06-15,Corsair Dominator,8GB,DDR5,Reinicialização súbita,Falha térmica em carga alta,Aprovado
RMA-463,2026-06-16,ADATA XPG,8GB,DDR4,Reinicialização súbita,Falha térmica em carga alta,Aprovado
RMA-464,2026-06-16,Patriot Viper,64GB,DDR5,Erro no MemTest86,Erro de paridade ECC,Aprovado
RMA-465,2026-06-18,Patriot Viper,8GB,DDR4,Reinicialização súbita,Degradação de chip (SPD),Aprovado (Limpeza)
RMA-466,2026-06-18,Corsair Vengeance,32GB,DDR5,Congelamento aleatório,Pinos de contato oxidados,Aprovado
RMA-467,2026-06-18,ADATA XPG,8GB,DDR5,Frequência instável,Falha térmica em carga alta,Aprovado
RMA-468,2026-06-18,ADATA XPG,64GB,DDR4,Performance abaixo do esperado,Curto-circuito no PCB,Aprovado
RMA-469,2026-06-18,Kingston Fury,16GB,DDR4,Blue Screen (BSOD),Erro de paridade ECC,Aprovado
RMA-470,2026-06-19,Crucial Pro,8GB,DDR5,Erro no MemTest86,Incompatibilidade de firmware,Aprovado
RMA-471,2026-06-20,Corsair Vengeance,8GB,DDR4,Blue Screen (BSOD),Falha térmica em carga alta,Aprovado
RMA-472,2026-06-20,Corsair Vengeance,32GB,DDR4,Sistema não liga,Degradação de chip (SPD),Aprovado
RMA-473,2026-06-20,G.Skill Trident Z,16GB,DDR5,Reinicialização súbita,Degradação de chip (SPD),Aprovado
RMA-474,2026-06-20,Corsair Vengeance,16GB,DDR5,Sistema não liga,Pinos de contato oxidados,Aprovado
RMA-475,2026-06-21,Corsair Vengeance,64GB,DDR5,Não reconhece dual channel,Pinos de contato oxidados,Aprovado
RMA-476,2026-06-21,Kingston Fury,8GB,DDR4,Blue Screen (BSOD),Falha no barramento de dados,Aprovado
RMA-477,2026-06-21,Patriot Viper,16GB,DDR5,Performance abaixo do esperado,Incompatibilidade de firmware,Aprovado (Limpeza)
RMA-478,2026-06-22,Kingston Fury,32GB,DDR5,Sistema não liga,Falha no barramento de dados,Aprovado
RMA-479,2026-06-23,ADATA XPG,32GB,DDR5,Não reconhece dual channel,Erro de paridade ECC,Aprovado
RMA-480,2026-06-23,Corsair Vengeance,8GB,DDR5,Congelamento aleatório,Erro de paridade ECC,Aprovado
RMA-481,2026-06-23,Corsair Vengeance,64GB,DDR4,Erro no MemTest86,Incompatibilidade de firmware,Aprovado
RMA-482,2026-06-24,ADATA XPG,16GB,DDR4,Erro no MemTest86,Pinos de contato oxidados,Aprovado
RMA-483,2026-06-24,TeamGroup T-Force,64GB,DDR4,Luz de erro na placa-mãe,Falha térmica em carga alta,Aprovado
RMA-484,2026-06-25,Crucial Basics,32GB,DDR4,Erro no MemTest86,Capacitor SMD ausente,Aprovado
RMA-485,2026-06-25,TeamGroup T-Force,8GB,DDR4,Reinicialização súbita,Falha no barramento de dados,Aprovado
RMA-486,2026-06-25,Crucial Basics,16GB,DDR5,Performance abaixo do esperado,Degradação de chip (SPD),Aprovado
RMA-487,2026-06-26,Kingston Fury,8GB,DDR4,Frequência instável,Falha no barramento de dados,Aprovado
RMA-488,2026-06-27,Crucial Pro,64GB,DDR4,Não reconhece dual channel,Falha no barramento de dados,Rejeitado (Dano Físico)
RMA-489,2026-06-27,Corsair Vengeance,8GB,DDR4,Performance abaixo do esperado,Perfil XMP corrompido,Aprovado
RMA-490,2026-06-27,Crucial Basics,32GB,DDR5,Blue Screen (BSOD),Falha no barramento de dados,Aprovado
RMA-491,2026-06-27,Patriot Viper,64GB,DDR4,Luz de erro na placa-mãe,Incompatibilidade de firmware,Aprovado
RMA-492,2026-06-27,Crucial Pro,32GB,DDR5,Blue Screen (BSOD),Incompatibilidade de firmware,Aprovado
RMA-493,2026-06-27,G.Skill Trident Z,32GB,DDR4,Luz de erro na placa-mãe,Curto-circuito no PCB,Aprovado (Limpeza)
RMA-494,2026-06-27,TeamGroup T-Force,8GB,DDR4,Performance abaixo do esperado,Curto-circuito no PCB,Aprovado
RMA-495,2026-06-28,ADATA XPG,32GB,DDR5,Não reconhece dual channel,Curto-circuito no PCB,Aprovado
RMA-496,2026-06-28,Corsair Vengeance,64GB,DDR4,Blue Screen (BSOD),Erro de paridade ECC,Rejeitado (Modificação)
RMA-497,2026-06-29,Crucial Pro,64GB,DDR5,Erro no MemTest86,Erro de paridade ECC,Aprovado
RMA-498,2026-06-30,Patriot Viper,32GB,DDR4,Luz de erro na placa-mãe,Falha térmica em carga alta,Aprovado
RMA-499,2026-06-30,Patriot Viper,8GB,DDR5,Artefatos no vídeo (iGPU),Capacitor SMD ausente,Aprovado
RMA-500,2026-06-30,Patriot Viper,8GB,DDR5,Reinicialização súbita,Falha no barramento de dados,Aprovado
